game_id,round_id,role_id,pass1_matrix_json,pass1_reasoning
G015,2,P1,"{
  ""P2"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""}
}","P2: Two straight fails with P2 on the first and P4 on the second creates a dangerous linkage, so P2 should reframe the narrative toward ‘bad team selection/too-fast clears’ rather than direct blame to reduce heat while nudging suspicion onto a Good.
P3: As the Round 2 leader whose approved team failed, P3 should logically explain why the proposal was a reasonable test and outline the constrained suspect set without overcommitting to a single target yet.
P4: With P4 newly implicated by being on the failing Round 2 team, P4 should stress true but selectively chosen details (e.g., P1’s lone reject, or P2 being “too obvious” to double-sabotage) to steer attention away from P4.
P5: With high credibility and two failures to analyze, P5 should stick to concrete public facts (team memberships, vote patterns, overlap analysis) and push the group toward actionable suspect pooling."
G016,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Self-deception"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: With two consecutive fails and P2 leading the second failing team, a defensive internal-certainty posture ('I genuinely believe the blame is elsewhere') best sustains credibility while continuing to redirect suspicion. P3: After being on the Round 2 failing team, a moderate-GRS shift from vague uncertainty to Bayesian hedging lets P3 weigh whether the fail implicates P2 vs. a hidden partner without overcommitting. P4: High-GRS should move from exploring viewpoints to asserting a structured case, logically connecting the two failing team compositions to a tighter suspect set. P5: Since P5 was not on either failing quest, opportunistic misframing can leverage the vote history and team overlaps to steer the table toward suspecting P3/P4 and away from the evil pair."
G017,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Cherry-picking"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","P2: As the Round 2 leader on a failed quest, High-Mach P2 should acknowledge the failure while steering attention toward alternative suspects and away from their own team construction. P3: With a second fail creating strong combinatorial evidence, High-GRS P3 should move from hedging to concretely mapping which player-pairs explain both fails and push a clear exclusion set. P4: After cautioning against framing in Round 1, High-GRS P4 should now anchor discussion in the hard public record (teams, votes, outcomes) to narrow the suspect pool and test claims. P5: Moderate-Mach P5 benefits from selectively highlighting P2’s apparent consistency and the fact that multiple goods approved teams, using only favorable fragments to keep suspicion distributed."
G018,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P5"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","P2: As the Round 2 leader on a failing team, he should lean into accurate process talk (vote/teams) to look principled while subtly steering suspicion toward P3/P4 instead of himself. P3: With two failures now and having been on the Round 2 team, he should tighten from vague uncertainty into probability-based reads that keep flexibility while advocating better team constraints. P4: High-GRS and on the failed Round 2 team, he should anchor the table with concrete public facts (team compositions, who voted what, failure implications) to drive structured suspect formation. P5: Not on the Round 2 team but voting it through, he benefits from redirecting heat onto mission-goers and away from the P2–P5 evil pairing, using blame-shifts rather than empty filler."
G019,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""High""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""False consensus"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","P2: After captaining a second failed quest that included two Goods, High-Mach P2 should intensify the existing blame-shift narrative onto others to survive.
P3: With two consecutive fails and P3 being on the Round 2 team, High-GRS P3 should move from justification to concrete, public, vote-and-team-based inference to narrow suspects.
P4: Since P4 was on the Round 2 failing team and previously favored excluding both P1 and P2, a fact-forward recap of votes/teams best defends and advances a coherent suspect set.
P5: As an Evil not on the Round 2 team, P5 can safely pressure the table by overstating agreement around a convenient suspect/story to steer attention away from P2/P5 pairing."
G020,2,P1,"{
  ""P2"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: As leader of the second failed team and already pushing blame narratives, High Mach-IV benefits from staying in Counterfactual×Defensive Deflection to keep heat on P1 and away from P2/P5.
P3: With two fails and being on the Round 2 team, Moderate GRS should shift from hedging to Transparent×Cooperative Evidence sharing to anchor public inference around who could have caused each fail.
P4: Also on the Round 2 failed team, Moderate GRS should use Transparent×Cooperative Rational justification to explain their vote/reads and advocate a coherent next-team constraint without overcommitting to a single culprit.
P5: After backing the anti-P1 push and approving the Round 2 team that failed, High Mach-IV should pivot to Selective/Framing×Opportunistic Misframing to recast the two fails as primarily implicating Good players while minimizing linkage between P2 and P5."
G021,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Misframing"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: After leading a PASS team that included P5, shift from hedging to rational justification to explain why the proposal made sense while carefully updating reads from the R1 FAIL. P3: The PASS partially supports their R1 suggested lineup, so evolve from strategic uncertainty into Bayesian hedging to quantify suspicion on P5 vs. the R1 fail-source without overcommitting. P4: With P5 now getting trust from the PASS, use misframing to reinterpret the R1 FAIL as primarily implicating P1 or “team composition variance,” steering attention away from the evil pair. P5: Leverage the true fact that they were on the PASS to misdirect into over-weighting that result and downplaying the information value of the R1 FAIL involving P4."
G022,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Perspective-taking"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Misleading emphasis"",""scale"":""Mach-IV"",""level"":""High""}
}","P2: After leading a failed Quest 2, P2 should commit to concrete public deductions (who overlaps with which fails) to regain credibility and drive consensus. P3: With two fails on different teams, P3 should explore alternative interpretations aloud (2-sabotage vs. 1-sabotage, framing attempts) before hard-locking suspects. P4: Having pushed a hard lie in R1 and now facing rising heat from two failures, P4 should pivot to defensible redirection and move blame onto non-overlapping Good candidates rather than doubling down. P5: As the common denominator of the Round 2 fail, P5 should stick to true statements (e.g., vote patterns, prior suspicions) but over-weight minor details to steer attention back toward P1/P4 narratives without making checkable false claims."
G023,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Perspective-taking"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Evidence sharing"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Counterfactual"",""col"":""Defensive"",""tactic"":""Deflection"",""scale"":""Mach-IV"",""level"":""Moderate""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Cherry-picking"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","P2: After a fail on a team they led that included P4, High-GRS play shifts from justifying to perspective-taking to re-evaluate assumptions while preserving credibility. P3: With new hard data (fail implies P2 or P4 is evil given P1 is known-good to players only probabilistically), they should move from self-defense to evidence sharing about the team composition and vote patterns. P4: As the only new member on the failed quest team, they face rising suspicion and should use deflection to redirect scrutiny onto P2’s leadership choice or alternative suspects without overcommitting. P5: Having voted yes on both teams and not being on the failed quest, they can safely cherry-pick the Round 1 pass and unanimity Round 2 vote to steer suspicion away from evil coordination and toward “leadership error” narratives."
G024,2,P1,"{
  ""P2"": {""row"":""Transparent"",""col"":""Cooperative"",""tactic"":""Rational justification"",""scale"":""GRS"",""level"":""High""},
  ""P3"": {""row"":""Selective / Framing"",""col"":""Cooperative"",""tactic"":""Bayesian hedging"",""scale"":""GRS"",""level"":""Moderate""},
  ""P4"": {""row"":""Transparent"",""col"":""Adversarial"",""tactic"":""Truthful misdirection"",""scale"":""Mach-IV"",""level"":""High""},
  ""P5"": {""row"":""Selective / Framing"",""col"":""Opportunistic"",""tactic"":""Cherry-picking"",""scale"":""Mach-IV"",""level"":""Moderate""}
}","P2: After leading a PASS team containing P5, shift from empathizing to structured rationale for why the pick made sense while cautiously addressing why P1 voted no. P3: With new mixed evidence (FAIL with P4 on Q1, PASS with P5 on Q2), move from vague uncertainty to probabilistic reads without overcommitting. P4: Since Q1 failed on a P1+P4 team and P4 previously hard-blamed P1, pivot to accurate-but-distracting framing (focus on vote patterns and the Q2 PASS) to dilute direct heat. P5: Use the Q2 PASS as cover by highlighting only favorable facts (""I was on the PASS team"" and ""P1 voted no"") to push suspicion onto a Good player and away from the evil pair."
